Fila,n,C(n)
FLEV1,2202,6605
FLEV2,2202,6606
FLEV3,2202,8808
FLEV4,2202,17613
FLC,2203,2203
FLEV1,2203,6608
FLEV2,2203,6609
FLEV3,2203,8812
FLEV4,2203,17621
FLC,2204,2204
FLEV1,2204,6611
FLEV2,2204,6612
FLEV3,2204,8816
FLEV4,2204,17629
FLC,2205,2205
FLEV1,2205,6614
FLEV2,2205,6615
FLEV3,2205,8820
FLEV4,2205,17637
FLC,2206,2206
FLEV1,2206,6617
FLEV2,2206,6618
FLEV3,2206,8824
FLEV4,2206,17645
FLC,2207,2207
FLEV1,2207,6620
FLEV2,2207,6621
FLEV3,2207,8828
FLEV4,2207,17653
FLC,2208,2208
FLEV1,2208,6623
FLEV2,2208,6624
FLEV3,2208,8832
FLEV4,2208,17661
FLC,2209,2209
FLEV1,2209,6626
FLEV2,2209,6627
FLEV3,2209,8836
FLEV4,2209,17669
FLC,2210,2210
FLEV1,2210,6629
FLEV2,2210,6630
FLEV3,2210,8840
FLEV4,2210,17677
FLC,2211,2211
FLEV1,2211,6632
FLEV2,2211,6633
FLEV3,2211,8844
FLEV4,2211,17685
FLC,2212,2212
FLEV1,2212,6635
FLEV2,2212,6636
FLEV3,2212,8848
FLEV4,2212,17693
FLC,2213,2213
FLEV1,2213,6638
FLEV2,2213,6639
FLEV3,2213,8852
FLEV4,2213,17701
FLC,2214,2214
FLEV1,2214,6641
FLEV2,2214,6642
FLEV3,2214,8856
FLEV4,2214,17709
FLC,2215,2215
FLEV1,2215,6644
FLEV2,2215,6645
FLEV3,2215,8860
FLEV4,2215,17717
FLC,2216,2216
FLEV1,2216,6647
FLEV2,2216,6648
FLEV3,2216,8864
FLEV4,2216,17725
FLC,2217,2217
FLEV1,2217,6650
FLEV2,2217,6651
FLEV3,2217,8868
FLEV4,2217,17733
FLC,2218,2218
FLEV1,2218,6653
FLEV2,2218,6654
FLEV3,2218,8872
FLEV4,2218,17741
FLC,2219,2219
FLEV1,2219,6656
FLEV2,2219,6657
FLEV3,2219,8876
FLEV4,2219,17749
FLC,2220,2220
FLEV1,2220,6659
FLEV2,2220,6660
FLEV3,2220,8880
FLEV4,2220,17757
FLC,2221,2221
FLEV1,2221,6662
FLEV2,2221,6663
FLEV3,2221,8884
FLEV4,2221,17765
FLC,2222,2222
FLEV1,2222,6665
FLEV2,2222,6666
FLEV3,2222,8888
FLEV4,2222,17773
FLC,2223,2223
FLEV1,2223,6668
FLEV2,2223,6669
FLEV3,2223,8892
FLEV4,2223,17781
FLC,2224,2224
FLEV1,2224,6671
FLEV2,2224,6672
FLEV3,2224,8896
FLEV4,2224,17789
FLC,2225,2225
FLEV1,2225,6674
FLEV2,2225,6675
FLEV3,2225,8900
FLEV4,2225,17797
FLC,2226,2226
FLEV1,2226,6677
FLEV2,2226,6678
FLEV3,2226,8904
FLEV4,2226,17805
FLC,2227,2227
FLEV1,2227,6680
FLEV2,2227,6681
FLEV3,2227,8908
FLEV4,2227,17813
FLC,2228,2228
FLEV1,2228,6683
FLEV2,2228,6684
FLEV3,2228,8912
FLEV4,2228,17821
FLC,2229,2229
FLEV1,2229,6686
FLEV2,2229,6687
FLEV3,2229,8916
FLEV4,2229,17829
FLC,2230,2230
FLEV1,2230,6689
FLEV2,2230,6690
FLEV3,2230,8920
FLEV4,2230,17837
FLC,2231,2231
FLEV1,2231,6692
FLEV2,2231,6693
FLEV3,2231,8924
FLEV4,2231,17845
FLC,2232,2232
FLEV1,2232,6695
FLEV2,2232,6696
FLEV3,2232,8928
FLEV4,2232,17853
FLC,2233,2233
FLEV1,2233,6698
FLEV2,2233,6699
FLEV3,2233,8932
FLEV4,2233,17861
FLC,2234,2234
FLEV1,2234,6701
FLEV2,2234,6702
FLEV3,2234,8936
FLEV4,2234,17869
FLC,2235,2235
FLEV1,2235,6704
FLEV2,2235,6705
FLEV3,2235,8940
FLEV4,2235,17877
FLC,2236,2236
FLEV1,2236,6707
FLEV2,2236,6708
FLEV3,2236,8944
FLEV4,2236,17885
FLC,2237,2237
FLEV1,2237,6710
FLEV2,2237,6711
FLEV3,2237,8948
FLEV4,2237,17893
FLC,2238,2238
FLEV1,2238,6713
FLEV2,2238,6714
FLEV3,2238,8952
FLEV4,2238,17901
FLC,2239,2239
FLEV1,2239,6716
FLEV2,2239,6717
FLEV3,2239,8956
FLEV4,2239,17909
FLC,2240,2240
FLEV1,2240,6719
FLEV2,2240,6720
FLEV3,2240,8960
FLEV4,2240,17917
FLC,2241,2241
FLEV1,2241,6722
FLEV2,2241,6723
FLEV3,2241,8964
FLEV4,2241,17925
FLC,2242,2242
FLEV1,2242,6725
FLEV2,2242,6726
FLEV3,2242,8968
FLEV4,2242,17933
FLC,2243,2243
FLEV1,2243,6728
FLEV2,2243,6729
FLEV3,2243,8972
FLEV4,2243,17941
FLC,2244,2244
FLEV1,2244,6731
FLEV2,2244,6732
FLEV3,2244,8976
FLEV4,2244,17949
FLC,2245,2245
FLEV1,2245,6734
FLEV2,2245,6735
FLEV3,2245,8980
FLEV4,2245,17957
FLC,2246,2246
FLEV1,2246,6737
FLEV2,2246,6738
FLEV3,2246,8984
FLEV4,2246,17965
FLC,2247,2247
FLEV1,2247,6740
FLEV2,2247,6741
FLEV3,2247,8988
FLEV4,2247,17973
FLC,2248,2248
FLEV1,2248,6743
FLEV2,2248,6744
FLEV3,2248,8992
FLEV4,2248,17981
FLC,2249,2249
FLEV1,2249,6746
FLEV2,2249,6747
FLEV3,2249,8996
FLEV4,2249,17989
FLC,2250,2250
FLEV1,2250,6749
FLEV2,2250,6750
FLEV3,2250,9000
FLEV4,2250,17997
FLC,2251,2251
FLEV1,2251,6752
FLEV2,2251,6753
FLEV3,2251,9004
FLEV4,2251,18005
FLC,2252,2252
FLEV1,2252,6755
FLEV2,2252,6756
FLEV3,2252,9008
FLEV4,2252,18013
FLC,2253,2253
FLEV1,2253,6758
FLEV2,2253,6759
FLEV3,2253,9012
FLEV4,2253,18021
FLC,2254,2254
FLEV1,2254,6761
FLEV2,2254,6762
FLEV3,2254,9016
FLEV4,2254,18029
FLC,2255,2255
FLEV1,2255,6764
FLEV2,2255,6765
FLEV3,2255,9020
FLEV4,2255,18037
FLC,2256,2256
FLEV1,2256,6767
FLEV2,2256,6768
FLEV3,2256,9024
FLEV4,2256,18045
FLC,2257,2257
FLEV1,2257,6770
FLEV2,2257,6771
FLEV3,2257,9028
FLEV4,2257,18053
FLC,2258,2258
FLEV1,2258,6773
FLEV2,2258,6774
FLEV3,2258,9032
FLEV4,2258,18061
FLC,2259,2259
FLEV1,2259,6776
FLEV2,2259,6777
FLEV3,2259,9036
FLEV4,2259,18069
FLC,2260,2260
FLEV1,2260,6779
FLEV2,2260,6780
FLEV3,2260,9040
FLEV4,2260,18077
FLC,2261,2261
FLEV1,2261,6782
FLEV2,2261,6783
FLEV3,2261,9044
FLEV4,2261,18085
FLC,2262,2262
FLEV1,2262,6785
FLEV2,2262,6786
FLEV3,2262,9048
FLEV4,2262,18093
FLC,2263,2263
FLEV1,2263,6788
FLEV2,2263,6789
FLEV3,2263,9052
FLEV4,2263,18101
FLC,2264,2264
FLEV1,2264,6791
FLEV2,2264,6792
FLEV3,2264,9056
FLEV4,2264,18109
FLC,2265,2265
FLEV1,2265,6794
FLEV2,2265,6795
FLEV3,2265,9060
FLEV4,2265,18117
FLC,2266,2266
FLEV1,2266,6797
FLEV2,2266,6798
FLEV3,2266,9064
FLEV4,2266,18125
FLC,2267,2267
FLEV1,2267,6800
FLEV2,2267,6801
FLEV3,2267,9068
FLEV4,2267,18133
FLC,2268,2268
FLEV1,2268,6803
FLEV2,2268,6804
FLEV3,2268,9072
FLEV4,2268,18141
FLC,2269,2269
FLEV1,2269,6806
FLEV2,2269,6807
FLEV3,2269,9076
FLEV4,2269,18149
FLC,2270,2270
FLEV1,2270,6809
FLEV2,2270,6810
FLEV3,2270,9080
FLEV4,2270,18157
FLC,2271,2271
FLEV1,2271,6812
FLEV2,2271,6813
FLEV3,2271,9084
FLEV4,2271,18165
FLC,2272,2272
FLEV1,2272,6815
FLEV2,2272,6816
FLEV3,2272,9088
FLEV4,2272,18173
FLC,2273,2273
FLEV1,2273,6818
FLEV2,2273,6819
FLEV3,2273,9092
FLEV4,2273,18181
FLC,2274,2274
FLEV1,2274,6821
FLEV2,2274,6822
FLEV3,2274,9096
FLEV4,2274,18189
FLC,2275,2275
FLEV1,2275,6824
FLEV2,2275,6825
FLEV3,2275,9100
FLEV4,2275,18197
FLC,2276,2276
FLEV1,2276,6827
FLEV2,2276,6828
FLEV3,2276,9104
FLEV4,2276,18205
FLC,2277,2277
FLEV1,2277,6830
FLEV2,2277,6831
FLEV3,2277,9108
FLEV4,2277,18213
FLC,2278,2278
FLEV1,2278,6833
FLEV2,2278,6834
FLEV3,2278,9112
FLEV4,2278,18221
FLC,2279,2279
FLEV1,2279,6836
FLEV2,2279,6837
FLEV3,2279,9116
FLEV4,2279,18229
FLC,2280,2280
FLEV1,2280,6839
FLEV2,2280,6840
FLEV3,2280,9120
FLEV4,2280,18237
FLC,2281,2281
FLEV1,2281,6842
FLEV2,2281,6843
FLEV3,2281,9124
FLEV4,2281,18245
FLC,2282,2282
FLEV1,2282,6845
FLEV2,2282,6846
FLEV3,2282,9128
FLEV4,2282,18253
FLC,2283,2283
FLEV1,2283,6848
FLEV2,2283,6849
FLEV3,2283,9132
FLEV4,2283,18261
FLC,2284,2284
FLEV1,2284,6851
FLEV2,2284,6852
FLEV3,2284,9136
FLEV4,2284,18269
FLC,2285,2285
FLEV1,2285,6854
FLEV2,2285,6855
FLEV3,2285,9140
FLEV4,2285,18277
FLC,2286,2286
FLEV1,2286,6857
FLEV2,2286,6858
FLEV3,2286,9144
FLEV4,2286,18285
FLC,2287,2287
FLEV1,2287,6860
FLEV2,2287,6861
FLEV3,2287,9148
FLEV4,2287,18293
FLC,2288,2288
FLEV1,2288,6863
FLEV2,2288,6864
FLEV3,2288,9152
FLEV4,2288,18301
FLC,2289,2289
FLEV1,2289,6866
FLEV2,2289,6867
FLEV3,2289,9156
FLEV4,2289,18309
FLC,2290,2290
FLEV1,2290,6869
FLEV2,2290,6870
FLEV3,2290,9160
FLEV4,2290,18317
FLC,2291,2291
FLEV1,2291,6872
FLEV2,2291,6873
FLEV3,2291,9164
FLEV4,2291,18325
FLC,2292,2292
FLEV1,2292,6875
FLEV2,2292,6876
FLEV3,2292,9168
FLEV4,2292,18333
FLC,2293,2293
FLEV1,2293,6878
FLEV2,2293,6879
FLEV3,2293,9172
FLEV4,2293,18341
FLC,2294,2294
FLEV1,2294,6881
FLEV2,2294,6882
FLEV3,2294,9176
FLEV4,2294,18349
FLC,2295,2295
FLEV1,2295,6884
FLEV2,2295,6885
FLEV3,2295,9180
FLEV4,2295,18357
FLC,2296,2296
FLEV1,2296,6887
FLEV2,2296,6888
FLEV3,2296,9184
FLEV4,2296,18365
FLC,2297,2297
FLEV1,2297,6890
FLEV2,2297,6891
FLEV3,2297,9188
FLEV4,2297,18373
FLC,2298,2298
FLEV1,2298,6893
FLEV2,2298,6894
FLEV3,2298,9192
FLEV4,2298,18381
FLC,2299,2299
FLEV1,2299,6896
FLEV2,2299,6897
FLEV3,2299,9196
FLEV4,2299,18389
FLC,2300,2300
FLEV1,2300,6899
FLEV2,2300,6900
FLEV3,2300,9200
FLEV4,2300,18397
FLC,2301,2301
FLEV1,2301,6902
FLEV2,2301,6903
FLEV3,2301,9204
FLEV4,2301,18405
FLC,2302,2302
FLEV1,2302,6905
FLEV2,2302,6906
FLEV3,2302,9208
FLEV4,2302,18413
FLC,2303,2303
FLEV1,2303,6908
FLEV2,2303,6909
FLEV3,2303,9212
FLEV4,2303,18421
FLC,2304,2304
FLEV1,2304,6911
FLEV2,2304,6912
FLEV3,2304,9216
FLEV4,2304,18429
FLC,2305,2305
FLEV1,2305,6914
FLEV2,2305,6915
FLEV3,2305,9220
FLEV4,2305,18437
FLC,2306,2306
FLEV1,2306,6917
FLEV2,2306,6918
FLEV3,2306,9224
FLEV4,2306,18445
FLC,2307,2307
FLEV1,2307,6920
FLEV2,2307,6921
FLEV3,2307,9228
FLEV4,2307,18453
FLC,2308,2308
FLEV1,2308,6923
FLEV2,2308,6924
FLEV3,2308,9232
FLEV4,2308,18461
FLC,2309,2309
FLEV1,2309,6926
FLEV2,2309,6927
FLEV3,2309,9236
FLEV4,2309,18469
FLC,2310,2310
FLEV1,2310,6929
FLEV2,2310,6930
FLEV3,2310,9240
FLEV4,2310,18477
FLC,2311,2311
FLEV1,2311,6932
FLEV2,2311,6933
FLEV3,2311,9244
FLEV4,2311,18485
FLC,2312,2312
FLEV1,2312,6935
FLEV2,2312,6936
FLEV3,2312,9248
FLEV4,2312,18493
FLC,2313,2313
FLEV1,2313,6938
FLEV2,2313,6939
FLEV3,2313,9252
FLEV4,2313,18501
FLC,2314,2314
FLEV1,2314,6941
FLEV2,2314,6942
FLEV3,2314,9256
FLEV4,2314,18509
FLC,2315,2315
FLEV1,2315,6944
FLEV2,2315,6945
FLEV3,2315,9260
FLEV4,2315,18517
FLC,2316,2316
FLEV1,2316,6947
FLEV2,2316,6948
FLEV3,2316,9264
FLEV4,2316,18525
FLC,2317,2317
FLEV1,2317,6950
FLEV2,2317,6951
FLEV3,2317,9268
FLEV4,2317,18533
FLC,2318,2318
FLEV1,2318,6953
FLEV2,2318,6954
FLEV3,2318,9272
FLEV4,2318,18541
FLC,2319,2319
FLEV1,2319,6956
FLEV2,2319,6957
FLEV3,2319,9276
FLEV4,2319,18549
FLC,2320,2320
FLEV1,2320,6959
FLEV2,2320,6960
FLEV3,2320,9280
FLEV4,2320,18557
FLC,2321,2321
FLEV1,2321,6962
FLEV2,2321,6963
FLEV3,2321,9284
FLEV4,2321,18565
FLC,2322,2322
FLEV1,2322,6965
FLEV2,2322,6966
FLEV3,2322,9288
FLEV4,2322,18573
FLC,2323,2323
FLEV1,2323,6968
FLEV2,2323,6969
FLEV3,2323,9292
FLEV4,2323,18581
FLC,2324,2324
FLEV1,2324,6971
FLEV2,2324,6972
FLEV3,2324,9296
FLEV4,2324,18589
FLC,2325,2325
FLEV1,2325,6974
FLEV2,2325,6975
FLEV3,2325,9300
FLEV4,2325,18597
FLC,2326,2326
FLEV1,2326,6977
FLEV2,2326,6978
FLEV3,2326,9304
FLEV4,2326,18605
FLC,2327,2327
FLEV1,2327,6980
FLEV2,2327,6981
FLEV3,2327,9308
FLEV4,2327,18613
FLC,2328,2328
FLEV1,2328,6983
FLEV2,2328,6984
FLEV3,2328,9312
FLEV4,2328,18621
FLC,2329,2329
FLEV1,2329,6986
FLEV2,2329,6987
FLEV3,2329,9316
FLEV4,2329,18629
FLC,2330,2330
FLEV1,2330,6989
FLEV2,2330,6990
FLEV3,2330,9320
FLEV4,2330,18637
FLC,2331,2331
FLEV1,2331,6992
FLEV2,2331,6993
FLEV3,2331,9324
FLEV4,2331,18645
FLC,2332,2332
FLEV1,2332,6995
FLEV2,2332,6996
FLEV3,2332,9328
FLEV4,2332,18653
FLC,2333,2333
FLEV1,2333,6998
FLEV2,2333,6999
FLEV3,2333,9332
FLEV4,2333,18661
FLC,2334,2334
FLEV1,2334,7001
FLEV2,2334,7002
FLEV3,2334,9336
FLEV4,2334,18669
FLC,2335,2335
FLEV1,2335,7004
FLEV2,2335,7005
FLEV3,2335,9340
FLEV4,2335,18677
FLC,2336,2336
FLEV1,2336,7007
FLEV2,2336,7008
FLEV3,2336,9344
FLEV4,2336,18685
FLC,2337,2337
FLEV1,2337,7010
FLEV2,2337,7011
FLEV3,2337,9348
FLEV4,2337,18693
FLC,2338,2338
FLEV1,2338,7013
FLEV2,2338,7014
FLEV3,2338,9352
FLEV4,2338,18701
FLC,2339,2339
FLEV1,2339,7016
FLEV2,2339,7017
FLEV3,2339,9356
FLEV4,2339,18709
FLC,2340,2340
FLEV1,2340,7019
FLEV2,2340,7020
FLEV3,2340,9360
FLEV4,2340,18717
FLC,2341,2341
FLEV1,2341,7022
FLEV2,2341,7023
FLEV3,2341,9364
FLEV4,2341,18725
FLC,2342,2342
FLEV1,2342,7025
FLEV2,2342,7026
FLEV3,2342,9368
FLEV4,2342,18733
FLC,2343,2343
FLEV1,2343,7028
FLEV2,2343,7029
FLEV3,2343,9372
FLEV4,2343,18741
FLC,2344,2344
FLEV1,2344,7031
FLEV2,2344,7032
FLEV3,2344,9376
FLEV4,2344,18749
FLC,2345,2345
FLEV1,2345,7034
FLEV2,2345,7035
FLEV3,2345,9380
FLEV4,2345,18757
FLC,2346,2346
FLEV1,2346,7037
FLEV2,2346,7038
FLEV3,2346,9384
FLEV4,2346,18765
FLC,2347,2347
FLEV1,2347,7040
FLEV2,2347,7041
FLEV3,2347,9388
FLEV4,2347,18773
FLC,2348,2348
FLEV1,2348,7043
FLEV2,2348,7044
FLEV3,2348,9392
FLEV4,2348,18781
FLC,2349,2349
FLEV1,2349,7046
FLEV2,2349,7047
FLEV3,2349,9396
FLEV4,2349,18789
FLC,2350,2350
FLEV1,2350,7049
FLEV2,2350,7050
FLEV3,2350,9400
FLEV4,2350,18797
FLC,2351,2351
FLEV1,2351,7052
FLEV2,2351,7053
FLEV3,2351,9404
FLEV4,2351,18805
FLC,2352,2352
FLEV1,2352,7055
FLEV2,2352,7056
FLEV3,2352,9408
FLEV4,2352,18813
FLC,2353,2353
FLEV1,2353,7058
FLEV2,2353,7059
FLEV3,2353,9412
FLEV4,2353,18821
FLC,2354,2354
FLEV1,2354,7061
FLEV2,2354,7062
FLEV3,2354,9416
FLEV4,2354,18829
FLC,2355,2355
FLEV1,2355,7064
FLEV2,2355,7065
FLEV3,2355,9420
FLEV4,2355,18837
FLC,2356,2356
FLEV1,2356,7067
FLEV2,2356,7068
FLEV3,2356,9424
FLEV4,2356,18845
FLC,2357,2357
FLEV1,2357,7070
FLEV2,2357,7071
FLEV3,2357,9428
FLEV4,2357,18853
FLC,2358,2358
FLEV1,2358,7073
FLEV2,2358,7074
FLEV3,2358,9432
FLEV4,2358,18861
FLC,2359,2359
FLEV1,2359,7076
FLEV2,2359,7077
FLEV3,2359,9436
FLEV4,2359,18869
FLC,2360,2360
FLEV1,2360,7079
FLEV2,2360,7080
FLEV3,2360,9440
FLEV4,2360,18877
FLC,2361,2361
FLEV1,2361,7082
FLEV2,2361,7083
FLEV3,2361,9444
FLEV4,2361,18885
FLC,2362,2362
FLEV1,2362,7085
FLEV2,2362,7086
FLEV3,2362,9448
FLEV4,2362,18893
FLC,2363,2363
FLEV1,2363,7088
FLEV2,2363,7089
FLEV3,2363,9452
FLEV4,2363,18901
FLC,2364,2364
FLEV1,2364,7091
FLEV2,2364,7092
FLEV3,2364,9456
FLEV4,2364,18909
FLC,2365,2365
FLEV1,2365,7094
FLEV2,2365,7095
FLEV3,2365,9460
FLEV4,2365,18917
FLC,2366,2366
FLEV1,2366,7097
FLEV2,2366,7098
FLEV3,2366,9464
FLEV4,2366,18925
FLC,2367,2367
FLEV1,2367,7100
FLEV2,2367,7101
FLEV3,2367,9468
FLEV4,2367,18933
FLC,2368,2368
FLEV1,2368,7103
FLEV2,2368,7104
FLEV3,2368,9472
FLEV4,2368,18941
FLC,2369,2369
FLEV1,2369,7106
FLEV2,2369,7107
FLEV3,2369,9476
FLEV4,2369,18949
FLC,2370,2370
FLEV1,2370,7109
FLEV2,2370,7110
FLEV3,2370,9480
FLEV4,2370,18957
FLC,2371,2371
FLEV1,2371,7112
FLEV2,2371,7113
FLEV3,2371,9484
FLEV4,2371,18965
FLC,2372,2372
FLEV1,2372,7115
FLEV2,2372,7116
FLEV3,2372,9488
FLEV4,2372,18973
FLC,2373,2373
FLEV1,2373,7118
FLEV2,2373,7119
FLEV3,2373,9492
FLEV4,2373,18981
FLC,2374,2374
FLEV1,2374,7121
FLEV2,2374,7122
FLEV3,2374,9496
FLEV4,2374,18989
FLC,2375,2375
FLEV1,2375,7124
FLEV2,2375,7125
FLEV3,2375,9500
FLEV4,2375,18997
FLC,2376,2376
FLEV1,2376,7127
FLEV2,2376,7128
FLEV3,2376,9504
FLEV4,2376,19005
FLC,2377,2377
FLEV1,2377,7130
FLEV2,2377,7131
FLEV3,2377,9508
FLEV4,2377,19013
FLC,2378,2378
FLEV1,2378,7133
FLEV2,2378,7134
FLEV3,2378,9512
FLEV4,2378,19021
FLC,2379,2379
FLEV1,2379,7136
FLEV2,2379,7137
FLEV3,2379,9516
FLEV4,2379,19029
FLC,2380,2380
FLEV1,2380,7139
FLEV2,2380,7140
FLEV3,2380,9520
FLEV4,2380,19037
FLC,2381,2381
FLEV1,2381,7142
FLEV2,2381,7143
FLEV3,2381,9524
FLEV4,2381,19045
FLC,2382,2382
FLEV1,2382,7145
FLEV2,2382,7146
FLEV3,2382,9528
FLEV4,2382,19053
FLC,2383,2383
FLEV1,2383,7148
FLEV2,2383,7149
FLEV3,2383,9532
FLEV4,2383,19061
FLC,2384,2384
FLEV1,2384,7151
FLEV2,2384,7152
FLEV3,2384,9536
FLEV4,2384,19069
FLC,2385,2385
FLEV1,2385,7154
FLEV2,2385,7155
FLEV3,2385,9540
FLEV4,2385,19077
FLC,2386,2386
FLEV1,2386,7157
FLEV2,2386,7158
FLEV3,2386,9544
FLEV4,2386,19085
FLC,2387,2387
FLEV1,2387,7160
FLEV2,2387,7161
FLEV3,2387,9548
FLEV4,2387,19093
FLC,2388,2388
FLEV1,2388,7163
FLEV2,2388,7164
FLEV3,2388,9552
FLEV4,2388,19101
FLC,2389,2389
FLEV1,2389,7166
FLEV2,2389,7167
FLEV3,2389,9556
FLEV4,2389,19109
FLC,2390,2390
FLEV1,2390,7169
FLEV2,2390,7170
FLEV3,2390,9560
FLEV4,2390,19117
FLC,2391,2391
FLEV1,2391,7172
FLEV2,2391,7173
FLEV3,2391,9564
FLEV4,2391,19125
FLC,2392,2392
FLEV1,2392,7175
FLEV2,2392,7176
FLEV3,2392,9568
FLEV4,2392,19133
FLC,2393,2393
FLEV1,2393,7178
FLEV2,2393,7179
FLEV3,2393,9572
FLEV4,2393,19141
FLC,2394,2394
FLEV1,2394,7181
FLEV2,2394,7182
FLEV3,2394,9576
FLEV4,2394,19149
FLC,2395,2395
FLEV1,2395,7184
FLEV2,2395,7185
FLEV3,2395,9580
FLEV4,2395,19157
FLC,2396,2396
FLEV1,2396,7187
FLEV2,2396,7188
FLEV3,2396,9584
FLEV4,2396,19165
FLC,2397,2397
FLEV1,2397,7190
FLEV2,2397,7191
FLEV3,2397,9588
FLEV4,2397,19173
FLC,2398,2398
FLEV1,2398,7193
FLEV2,2398,7194
FLEV3,2398,9592
FLEV4,2398,19181
FLC,2399,2399
FLEV1,2399,7196
FLEV2,2399,7197
FLEV3,2399,9596
FLEV4,2399,19189
FLC,2400,2400
FLEV1,2400,7199
FLEV2,2400,7200
FLEV3,2400,9600
FLEV4,2400,19197
FLC,2401,2401
FLEV1,2401,7202
FLEV2,2401,7203
FLEV3,2401,9604
FLEV4,2401,19205
FLC,2402,2402
FLEV1,2402,7205
FLEV2,2402,7206
FLEV3,2402,9608
FLEV4,2402,19213
FLC,2403,2403
FLEV1,2403,7208
FLEV2,2403,7209
FLEV3,2403,9612
FLEV4,2403,19221
FLC,2404,2404
FLEV1,2404,7211
FLEV2,2404,7212
FLEV3,2404,9616
FLEV4,2404,19229
FLC,2405,2405
FLEV1,2405,7214
FLEV2,2405,7215
FLEV3,2405,9620
FLEV4,2405,19237
FLC,2406,2406
FLEV1,2406,7217
FLEV2,2406,7218
FLEV3,2406,9624
FLEV4,2406,19245
FLC,2407,2407
FLEV1,2407,7220
FLEV2,2407,7221
FLEV3,2407,9628
FLEV4,2407,19253
FLC,2408,2408
FLEV1,2408,7223
FLEV2,2408,7224
FLEV3,2408,9632
FLEV4,2408,19261
FLC,2409,2409
FLEV1,2409,7226
FLEV2,2409,7227
FLEV3,2409,9636
FLEV4,2409,19269
FLC,2410,2410
FLEV1,2410,7229
FLEV2,2410,7230
FLEV3,2410,9640
FLEV4,2410,19277
FLC,2411,2411
FLEV1,2411,7232
FLEV2,2411,7233
FLEV3,2411,9644
FLEV4,2411,19285
FLC,2412,2412
FLEV1,2412,7235
FLEV2,2412,7236
FLEV3,2412,9648
FLEV4,2412,19293
FLC,2413,2413
FLEV1,2413,7238
FLEV2,2413,7239
FLEV3,2413,9652
FLEV4,2413,19301
FLC,2414,2414
FLEV1,2414,7241
FLEV2,2414,7242
FLEV3,2414,9656
FLEV4,2414,19309
FLC,2415,2415
FLEV1,2415,7244
FLEV2,2415,7245
FLEV3,2415,9660
FLEV4,2415,19317
FLC,2416,2416
FLEV1,2416,7247
FLEV2,2416,7248
FLEV3,2416,9664
FLEV4,2416,19325
FLC,2417,2417
FLEV1,2417,7250
FLEV2,2417,7251
FLEV3,2417,9668
FLEV4,2417,19333
FLC,2418,2418
FLEV1,2418,7253
FLEV2,2418,7254
FLEV3,2418,9672
FLEV4,2418,19341
FLC,2419,2419
FLEV1,2419,7256
FLEV2,2419,7257
FLEV3,2419,9676
FLEV4,2419,19349
FLC,2420,2420
FLEV1,2420,7259
FLEV2,2420,7260
FLEV3,2420,9680
FLEV4,2420,19357
FLC,2421,2421
FLEV1,2421,7262
FLEV2,2421,7263
FLEV3,2421,9684
FLEV4,2421,19365
FLC,2422,2422
FLEV1,2422,7265
FLEV2,2422,7266
FLEV3,2422,9688
FLEV4,2422,19373
FLC,2423,2423
FLEV1,2423,7268
FLEV2,2423,7269
FLEV3,2423,9692
FLEV4,2423,19381
FLC,2424,2424
FLEV1,2424,7271
FLEV2,2424,7272
FLEV3,2424,9696
FLEV4,2424,19389
FLC,2425,2425
FLEV1,2425,7274
FLEV2,2425,7275
FLEV3,2425,9700
FLEV4,2425,19397
FLC,2426,2426
FLEV1,2426,7277
FLEV2,2426,7278
FLEV3,2426,9704
FLEV4,2426,19405
FLC,2427,2427
FLEV1,2427,7280
FLEV2,2427,7281
FLEV3,2427,9708
FLEV4,2427,19413
FLC,2428,2428
FLEV1,2428,7283
FLEV2,2428,7284
FLEV3,2428,9712
FLEV4,2428,19421
FLC,2429,2429
FLEV1,2429,7286
FLEV2,2429,7287
FLEV3,2429,9716
FLEV4,2429,19429
FLC,2430,2430
FLEV1,2430,7289
FLEV2,2430,7290
FLEV3,2430,9720
FLEV4,2430,19437
FLC,2431,2431
FLEV1,2431,7292
FLEV2,2431,7293
FLEV3,2431,9724
FLEV4,2431,19445
FLC,2432,2432
FLEV1,2432,7295
FLEV2,2432,7296
FLEV3,2432,9728
FLEV4,2432,19453
FLC,2433,2433
FLEV1,2433,7298
FLEV2,2433,7299
FLEV3,2433,9732
FLEV4,2433,19461
FLC,2434,2434
FLEV1,2434,7301
FLEV2,2434,7302
FLEV3,2434,9736
FLEV4,2434,19469
FLC,2435,2435
FLEV1,2435,7304
FLEV2,2435,7305
FLEV3,2435,9740
FLEV4,2435,19477
FLC,2436,2436
FLEV1,2436,7307
FLEV2,2436,7308
FLEV3,2436,9744
FLEV4,2436,19485
FLC,2437,2437
FLEV1,2437,7310
FLEV2,2437,7311
FLEV3,2437,9748
FLEV4,2437,19493
FLC,2438,2438
FLEV1,2438,7313
FLEV2,2438,7314
FLEV3,2438,9752
FLEV4,2438,19501
FLC,2439,2439
FLEV1,2439,7316
FLEV2,2439,7317
FLEV3,2439,9756
FLEV4,2439,19509
FLC,2440,2440
FLEV1,2440,7319
FLEV2,2440,7320
FLEV3,2440,9760
FLEV4,2440,19517
FLC,2441,2441
FLEV1,2441,7322
FLEV2,2441,7323
FLEV3,2441,9764
FLEV4,2441,19525
FLC,2442,2442
FLEV1,2442,7325
FLEV2,2442,7326
FLEV3,2442,9768
FLEV4,2442,19533
FLC,2443,2443
